RuleID,Title,Severity,Category,SourceFile,Line
R-c51c41fde8dc,- Maintainability: 80 — Type-check clean on app; ruff enforced; modular memory r,High,Quality,/Users/frisowempe/ISA_D/QUALITY_SCORECARD.md,9
R-faea8c0a6e0c,- Improve coverage and mutation testing; add perf budgets on hot paths; expand s,High,CI/CD,/Users/frisowempe/ISA_D/QUALITY_SCORECARD.md,15
R-62b5674f465d,"1.  **Adhere to General Policies**: You must follow all principles, roles (Plann",High,CI/CD,/Users/frisowempe/ISA_D/gemini.md,10
R-6460d79d09cb,"6.  **The Verifier Mandate**: After making changes (e.g., `write_file`, `replace",High,Docs,/Users/frisowempe/ISA_D/gemini.md,24
R-bb2e59f85d58,"21. CI gating: Advisory→enforced cadence, time budgets, flaky quarantine; pytest",High,CI/CD,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,41
R-1a9613b3df22,- Determinism likely needs orjson + explicit newline/encoding policies; cross‑OS,Low,CI/CD,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,237
R-b195ab9d09e6,- Polars/DuckDB promising for heavy joins; integration cost must be balanced wit,High,Process,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,239
R-d25ece872f47,- Changing the embedding model invalidates existing vectors; migrations must be ,High,Docs,/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,10
R-18792834f632,Each vector entry MUST include the following metadata fields (example JSON schem,High,Data,/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,21
R-40eea275e63b,- Every ingestion run must produce a manifest (JSON) linking `document_id` → sou,High,Docs,/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,37
R-fad2263d458a,10) Promotion & Retirement: Promote to PR‑CI only if passing thresholds for 7 co,Low,CI/CD,/Users/frisowempe/ISA_D/docs/RESEARCH_OPERATIONS.md,16
R-4c4306378c14,All AI agents *must* internalize and strictly adhere to the core principles and ,High,CI/CD,/Users/frisowempe/ISA_D/docs/AI_AGENT_ONBOARDING.md,7
R-496097b5f803,*   The project maintains a comprehensive index of its codebase. Before undertak,High,Agentic,/Users/frisowempe/ISA_D/docs/AI_AGENT_ONBOARDING.md,33
R-fbc69238d586,- Ephemeral branches; auto-merge only if CI fully green.,Low,CI/CD,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,17
R-aaa35a89051b,"- Append-only JSONL for events (plan, action, result, reward, memory store/retri",Low,CI/CD,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,22
R-f632eea427dd,- T0: Read-only advice (default).,Low,Agentic,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,43
R-03df19646c9a,"- When blocked by missing context, the agent researches (search index, docs, cod",Low,Agentic,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,50
R-ae7d57080c6e,- Coverage ≥90% core; type errors 0 on target modules; determinism enforced.,High,Agentic,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,59
R-d94261f042ae,- Autonomy: all edits land on branches; T2 auto-merge only with fully green CI a,Low,CI/CD,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,66
R-549e10fa406b,"- Stability counters: each gate (tests, coverage, mypy, semgrep, determinism) in",High,CI/CD,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,69
R-cec3f22c4a90,Kill-Switch & Rollback Triggers,High,Agentic,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,80
R-f735c039e15e,- docs/QUALITY_METHODS.md — quality and gate policies (incl. orchestrator-only g,Medium,CI/CD,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,88
R-7b914e9aa844,"- [x] Define toolchain and policies (uv, ruff, mypy, pytest, semgrep, bandit, pi",Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,11
R-53af647a56a4,- [x] Create ADR stubs for tooling and safety,Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,12
R-5b46b44db252,- [ ] Document reward model and autonomy tiers,Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,13
R-7f4c1771020f,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,14
R-21dd01899166,- Clear ADRs exist for tooling and safety with owners and rationale.,Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,15
R-17febb105ca8,- Reward model draft includes positive/negative signals and normalization.,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,16
R-147afed63a9a,2) Monorepo Unification (Plan Only in this commit),Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,18
R-19ed973fb163,"- [ ] Target layout defined: apps/superapp, packages/isa_c_full, packages/isa_c_",Low,Agentic,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,19
R-074486b9b35f,- [ ] Migration map from current folders to targets,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,20
R-1d2aba4b2318,- [ ] Root README and CONTRIBUTING outline the structure,Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,21
R-205ccc4c8db7,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,22
R-697c426bb4fe,- Migration document lists every move and import change.,Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,23
R-fb0a11ffc79a,- Superapp runs smoke test post-migration.,Low,Quality,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,24
R-2717efde47b8,- [ ] Root pyproject for shared tool config (no package build yet),Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,27
R-f52ecb3260f2,- [ ] uv lock strategy and constraints policy documented,Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,28
R-24472509b0f6,- [ ] Deps report script planned (not executed here),Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,29
R-065a0ee055b2,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,30
R-6b5739ae40c3,- One authoritative lock tool and constraints policy; no duplicate managers.,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,31
R-4d7e22c6ca81,- [x] Consolidate on ruff for lint+format in CI,Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,34
R-cd89ef906a1c,- [x] Pre-commit hooks planned with ruff and mypy,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,35
R-24a9d4647963,- [ ] Enforce formatting in CI on PRs,Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,36
R-8e744c999901,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,37
R-eb4540e18068,- `ruff check` and `ruff format --check` pass on default branch.,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,38
R-0e7e5c0bf525,- [ ] mypy gate (strict on libraries) configured in CI,Medium,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,41
R-48fc676cd91b,- [ ] Type coverage metric collected in CI,Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,42
R-fa5c89ee55e9,- [ ] JSON Schemas for agent traces and plans planned,Low,Agentic,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,43
R-0e0157e65b90,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,44
R-391bf2133fad,- mypy runs in CI; type coverage threshold recorded.,Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,45
R-c8b28521a975,- [ ] Unit/integration/property tests run on PRs,Low,Quality,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,48
R-eee9178c604a,- [ ] Mutation/fuzz/benchmarks scheduled nightly,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,49
R-566198e8ea59,- [ ] CrossHair targeted weekly (pure mappers),Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,50
R-f844202242ed,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,51
R-78cfd549248a,"- Coverage >= 90% gate (core), nightly mutation score >= 70% reported.",Medium,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,52
R-dd0d7d0bd070,- [ ] Mapping matrix generation job planned (CSV/HTML),Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,55
R-11699e3eb2b6,- [ ] CI check for gaps/collisions planned,Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,56
R-6c0c7d1058ee,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,57
R-b2f81bb667c9,- No critical unmapped fields without waiver.,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,58
R-f2e57f3f8b20,- [ ] Canonical JSON writer policy documented,Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,61
R-cfc2bcda97ee,- [ ] Snapshot tests policy documented,Low,Quality,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,62
R-431e70f51e83,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,63
R-fc727cc329ec,- Byte-for-byte stable snapshots for canonical outputs.,Low,Quality,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,64
R-7ba948bb63f9,- [ ] Baseline profiling job planned (cProfile/py-spy),Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,67
R-a2bb09216e7c,- [ ] Perf budgets in CI (regression guard) planned,Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,68
R-8b7983a8dfa4,- [ ] Parallel runner & content-hash cache planned,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,69
R-207c00f78c44,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,70
R-b4b1de032ae7,- >=30% target speedup on workload; CI fails on budget regressions.,Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,71
R-7bb1fd0e5525,- [ ] Structured logging schema plan (correlation IDs),Low,Observability,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,74
R-796b4247b0b2,- [ ] Prometheus metrics and Grafana dashboard plan,Low,Observability,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,75
R-b2a8e4571998,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,76
R-0e28c3779d56,"- Metrics for throughput, latency, error classes; dashboard JSON stored.",Low,Observability,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,77
R-936b7231ca65,"- [x] SAST/SCA tools selected (bandit, pip-audit, gitleaks, trivy)",Low,Security,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,80
R-a458e94c53da,- [ ] SBOM generation scheduled in CI (syft),Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,81
R-47af9f3b7cad,- [ ] OpenSSF Scorecard job planned,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,82
R-f66b0068e900,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,83
R-54dd7ab45a4d,- No high/critical findings; SBOM artifact per release.,Low,Security,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,84
R-1ac9635a50d8,- [x] PR CI workflow skeleton added,Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,87
R-094684df4bc3,- [x] Nightly/weekly jobs skeletons added,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,88
R-0a718b48cd56,- [ ] Release workflow and changelog automation planned,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,89
R-4c21853960c0,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,90
R-dfb8c8b17a39,- CI green on default; scheduled jobs publish artifacts.,Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,91
R-cf597c7099ae,- [ ] Makefile (root) stubs with agent-aware tasks planned,Low,Agentic,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,94
R-f61b5d29a33a,- [ ] Devcontainer and VS Code tasks planned,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,95
R-eea740e841d1,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,96
R-ae0b9deaf02b,- New dev can run one-command demo and CI dry run in <=5 minutes.,Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,97
R-9a7af11435fc,- [ ] Expectation suites plan (Great Expectations or pydantic-core),Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,100
R-cb69f4b584e2,- [ ] CI gate on data quality planned,Medium,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,101
R-507c12f98169,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,102
R-25e502000d3d,- >=99% pass for critical expectations.,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,103
R-68350484d1c9,- [ ] Wheel packaging plan for packages/isa_c_full and packages/isa_c_mapping,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,106
R-b8081b7b9251,"- [ ] Docker image plan for apps/superapp (non-root, healthcheck)",Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,107
R-8f4f897fb7ac,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,108
R-da947b00ebfb,- docker compose demo brings up end-to-end stack.,Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,109
R-e3ede8692d1d,"- [x] Document planner, builder, verifier, critic, reward aggregator, meta-learn",Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,112
R-fa3db2fb7900,"- [x] Policy engine and safety guardrails (allowlists, rate limits) documented",Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,113
R-7b58b6211323,- [ ] Autonomy tiers and promotion gates documented,Medium,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,114
R-81812b940a0a,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,115
R-a271d67447f1,- Policies and autonomy tiers are explicit; kill-switch defined.,High,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,116
R-4d015d3a3db8,- [x] Initial reward model outlined,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,119
R-6cfc97854fff,- [ ] Bandit strategy set enumerated and evaluators planned,Low,Security,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,120
R-882c19567fa4,- [ ] Replay log schema defined (JSONL),Low,Data,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,121
R-e5255dd961e2,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,122
R-8c7733824a39,- Agent eval win-rate targets defined; logs schema validated.,Low,Agentic,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,123
R-0ba8c0d22e22,"- [ ] SLOs for agent success, revert rate, latency",Low,Agentic,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,126
R-0ddff5604cb4,- [ ] Alert routes (Slack/PagerDuty) planned,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,127
R-e0006f76c181,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,128
R-97e7066ed20a,- Alert tests pass in CI; burn-rate panels configured.,Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,129
R-07ecc2fc6e95,- [ ] Tiered autonomy rollout (T0→T2) with gates,Medium,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,132
R-0a77f0c14782,- [ ] Rollback playbooks and repro pack policy,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,133
R-7ff7b35c5a9b,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,134
R-042e5b660177,- Post-merge reverts <1% 30-day rolling; repro packs attached on failures.,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,135
R-449a6e178ee0,- [ ] Adapter abstraction for LLM/tooling (DeepSeek-ready),Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,138
R-d969835f1b42,- [ ] Parity tests for plan/diff consistency across engines,Low,Quality,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,139
R-1689c28c2efd,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,140
R-889e58effadf,- No regression in eval win-rate when switching engines.,Low,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,141
R-38c0ca7947a2,- Perf: ≥30% speedup; CI perf budgets enforced,High,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,148
R-ec580113a642,- **Data Privacy:** PII must not be persisted in model training artifacts; incom,High,Observability,/Users/frisowempe/ISA_D/docs/AI_PROJECT_CHARTER.md,51
R-ed1efc59ee3e,- **Explainability & Provenance:** All generated answers must include source cit,High,CI/CD,/Users/frisowempe/ISA_D/docs/AI_PROJECT_CHARTER.md,53
R-0734420c05df,- Data Privacy: PII must not be persisted in model training artifacts; incoming ,High,Observability,/Users/frisowempe/ISA_D/docs/AI_PROJECT_CHARTER.md,88
R-4d8ddc9e9eb7,"- Explainability: All generated answers must include source citations and, where",High,CI/CD,/Users/frisowempe/ISA_D/docs/AI_PROJECT_CHARTER.md,90
R-acff93a95324,"- Misuse Risk: The system must surface ""not legal advice"" disclaimers for compli",High,Process,/Users/frisowempe/ISA_D/docs/AI_PROJECT_CHARTER.md,91
R-a44815a199d9,- Default to offline/test fixtures in PR CI; allow live network in nightly for a,Low,CI/CD,/Users/frisowempe/ISA_D/docs/RESEARCH_CAPABILITIES.md,51
R-9f7112a77112,- [ ] Create `nesy` adapters package layout (no heavy deps): `ISA_SuperApp/src/n,Low,Process,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,11
R-5a295225a826,"- [ ] Define common `NeSyAdapter` interface (predict(), explain(), metadata())",Low,Data,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,12
R-ff69ad5d6da4,"- [ ] Add feature flags in config: `NESY_{ESG_BERT,LNN,SENTICNET,ESGSENTICNET,DE",Low,Process,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,13
R-9a07fa871688,- [ ] Seed evaluation dataset for gaps (labeled) under `artifacts/nesy_eval/`,Low,Data,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,14
R-a39ba984ab1a,"- [ ] Eval harness: precision/recall/F1, latency, cost per adapter; JSONL report",Low,CI/CD,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,15
R-4539f8d65593,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,16
R-a0911c08e5cf,- Adapters implement the interface; flags are typed and documented; eval harness,Low,CI/CD,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,17
R-7a232910782a,- [ ] Adapter stub wrapping model API or local weights,Low,Process,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,20
R-07d5eae40ce2,- [ ] Symbolic materiality/rule layer (simple Python rules),Low,Process,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,21
R-f2e2c0079065,- [ ] Unit + integration tests with goldens and explanations,Low,Quality,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,22
R-5a0b75566091,- [ ] CI job: run adapter on small sample (advisory report),Low,CI/CD,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,23
R-c9e905d66f60,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,24
R-7c0fad731899,- ≥10% precision/recall lift vs. baseline keyword rules on eval set; explanation,Low,CI/CD,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,25
R-d937c5e3d82b,- [x] LNN integration module and deterministic validator endpoint `/validate`,Low,Process,/Users/frisowempe/ISA_D/docs/TODO_NeSy.md,29
